,com_1,com_2,com_3,com_4,com_5,com_6,sp1_1,sp1_2,sp1_3,sp1_4,sp2_1,sp2_2,sp2_3,sp2_4
0,-0.86262137,-0.046355262,-0.015513122,-0.8901317,-0.20451984,-0.32587633,-4.547733,-0.69238794,-4.746247,1.5208249,8.434101,-2.7398846,-3.7732763,-1.45819
1,-0.4717831,-0.792625,-0.2195119,-0.6923098,0.09551893,0.2643365,1.5755019,2.7441843,-2.9033015,0.59974486,-0.7599037,1.9425607,2.8676367,-1.7969351
2,-0.5251956,-0.14811647,0.3596415,-0.17317551,-0.7527642,0.35151654,-4.0581775,-2.016626,-3.2939925,-0.07385898,7.5977163,-6.2521834,-2.202316,-3.202187
3,-0.628104,-0.38097826,0.37363386,-0.5309787,-0.8677118,-0.6750802,-5.297193,-2.199439,6.0411077,1.4750645,-3.5623136,-1.4978342,-0.49640983,1.024172
4,-1.1722667,-0.031838983,0.4842664,-0.7997292,-0.19439186,-0.4829392,-0.9175134,-0.3333096,-0.76964486,3.2610226,-0.011007994,3.5196044,7.3777866,-4.537943
5,-0.342265,-0.4436013,0.3463936,-0.58198845,-0.6367837,0.5061996,-0.6756769,-1.5200261,6.423343,-3.7876496,1.874627,-9.924986,-2.0027657,-5.31931
6,-0.44746506,-0.7661558,0.29875904,-0.40539753,-0.103868246,0.4408222,6.348407,-1.7613969,-1.099855,1.2491553,3.9019928,1.7396706,5.9011555,-4.1106067
7,-0.9127028,-0.7447062,0.17068106,-1.2600675,-0.5422275,-0.01361607,-4.114522,-5.1962924,-12.10234,-10.048655,-0.5383571,-9.577296,13.854911,3.658761
8,-0.44951296,-0.07594864,-0.08358747,-0.5042474,-0.33017147,0.08313706,2.8448272,6.552748,7.975807,-5.3339653,8.7659445,-1.8410614,-4.675995,-2.225398
9,0.26482913,-0.29925272,0.09309846,-0.2780462,-0.37566242,1.1907296,25.23709,11.318621,-19.30478,1.6860476,2.303364,-2.9362066,-1.4596899,0.6677268
10,-0.6254366,-1.1377482,-0.2625391,-0.4322362,0.14677617,1.026512,7.0073624,-1.583568,-2.9419112,10.647101,1.8865027,-0.044455506,-1.4071845,0.48610926
11,-0.23877087,-0.80067915,0.49499148,-0.5183903,0.0019889846,-0.034118682,-18.550793,-26.262085,-3.0025227,12.308809,-1.0847696,3.4825168,6.83527,-1.7102765
12,-0.57264936,0.1785652,0.09465849,-1.4001745,-0.38195154,-0.5380653,3.399138,3.5110586,4.828183,5.2254367,11.822938,-4.43817,4.283179,-0.27732128
13,0.121836394,-0.17593485,0.040726386,-0.035440445,-1.1138442,-0.84808075,-2.04209,1.2147604,2.3036156,1.2062981,1.0141557,4.8025866,2.5768712,1.1848731
14,-0.061332032,0.10457432,-0.18949047,-0.580909,0.011466235,0.25594616,1.445358,-0.33722085,-5.2985215,-3.3008246,-5.995522,-0.089451164,20.019814,7.741518
15,0.12783653,-0.34481972,0.20282829,-0.6429272,0.008717895,0.30207032,-5.82591,-3.0919693,-3.3791525,-5.219544,0.806613,-7.2453566,-4.540704,0.11254174
16,-0.9134394,-0.5051801,0.0874207,-0.56886804,-0.9549854,-0.09472287,5.177537,3.3598099,-0.952763,-1.6769348,-3.0259047,4.5025663,1.7494493,8.24681
17,-0.622653,-0.06547828,-0.14482296,-0.40948784,-0.9416374,-0.614859,1.0143678,-9.59392,2.032923,-4.563837,8.787025,-1.9921125,1.9493804,2.3873253
18,-0.94057626,-0.43974453,0.3430122,-0.24846339,0.20946024,0.75595236,-4.589597,-0.382014,5.1265798,-6.170295,2.2729552,-0.7324171,-0.65666026,2.7130466
19,-0.12163795,-0.41697252,0.089640275,0.24152221,-0.4443918,0.98637974,-1.0422695,-1.0689825,1.9592197,-1.4384077,5.546836,1.9064924,0.12534513,2.0120711
20,-0.16115345,-0.4114136,0.11364657,-0.63141596,-0.23077399,0.5749047,-0.8995578,8.848681,2.0463703,-0.88608086,-8.095765,-14.88319,-7.651324,5.5577216
21,0.051147252,-0.375656,0.28210294,-0.31487077,-0.098808706,-0.4228165,2.8873546,-2.0698805,0.8221544,-0.30412006,3.7308538,3.8341367,7.7646008,14.177035
22,-0.52803767,-0.4020024,0.35233358,-1.4963317,-1.0618649,-0.625195,-1.4808521,-4.9084506,1.8245982,-1.3155687,-0.6349743,-6.002417,-11.853342,-0.73360175
23,-0.04232475,-0.7487952,0.121862486,-0.65734243,-0.5993031,-1.2212639,-1.1279829,-6.9282236,-3.183327,3.4255047,3.792584,11.633154,2.0996475,8.284424
24,-0.5053055,-0.3152151,0.33010703,-0.39226103,-0.7659278,-0.20626625,1.3793699,7.01569,-13.778071,-9.105927,3.3995743,2.3631196,-9.941929,-1.6751685
25,-0.78386176,-0.19255187,-0.28679645,-0.45613185,-0.13814607,-0.29461333,0.7098789,-23.657137,0.59759164,-8.653645,-18.475718,-5.709889,6.8394876,5.64525
26,-0.91673505,-0.5030849,0.75861263,-0.22085056,-0.32225728,-0.097295195,-10.201747,0.6979769,-12.483581,-12.383333,1.5972261,2.2449903,-2.398828,3.3224373
27,0.066716045,-1.0709857,0.45822,-0.15618591,-0.29002857,-0.6630687,5.213037,-4.703686,0.4576193,-0.7611614,3.2181768,0.8169453,-4.7267942,-4.4394846
28,0.4899733,-0.8774861,0.36053616,0.06539242,-0.0068460554,-0.42987722,0.043225706,1.0179641,-1.9228742,-2.8262277,4.5964317,-4.5796685,4.016697,5.1831226
29,-1.0607656,0.1505523,0.09998421,-0.59340847,0.08730947,-0.11066386,0.40874243,2.158799,1.0114434,1.8582991,-3.8179975,0.9629518,-5.2954445,-6.2156816
30,-0.06704453,-0.10433002,-0.19069773,-0.55058396,0.20088923,-1.0654159,3.8140793,-3.046891,2.9711554,-1.9287274,1.127569,-1.9689169,3.176959,1.3771605
31,-0.9235968,-0.24045402,0.2145738,-0.31320733,-0.5751938,-0.21662253,0.18288131,1.1825323,-2.0953772,10.616636,1.9418381,-4.1913342,3.5480788,-0.18441176
32,-0.20066637,-0.71910226,0.3815462,-0.71130484,-0.94029546,-0.4076565,2.6172445,-4.727755,0.5598433,0.0817792,-8.886326,-2.7533274,12.364944,-1.323874
33,-0.44207665,-0.99770325,0.35717112,-0.5786902,-0.85930794,-0.2679641,10.702912,-3.483343,-4.3990383,-3.6817362,-5.237213,-0.40055594,5.344207,4.470895
34,-0.67097265,0.7317704,0.11527832,-0.40576667,0.6574272,0.33285794,-29.991266,7.7041388,6.0981445,3.9279084,-1.8862586,-1.160865,3.3736103,-2.8953543
35,-0.31679055,-1.0501287,0.06772156,-0.17930432,-0.1619096,0.022732653,3.0994577,5.895311,-2.545269,1.9707334,-11.831203,1.1241794,-1.3188832,-14.173551
36,-0.7087127,-0.8009971,-0.42134494,-0.4105127,-0.15854141,-0.5099623,-4.4344745,-3.7116487,4.3645606,-0.46461555,-5.90163,-0.57636315,1.5071937,-0.71845317
37,-0.564172,-0.5640744,0.31888416,-0.599743,-0.013481684,-0.17992836,-3.0746443,-2.9887004,3.829473,-2.4758415,4.8866158,0.9372162,4.8527036,3.7669985
38,-0.79627395,-0.325146,0.662683,-0.4474824,-0.7169347,-1.1007532,2.080242,1.5970913,2.8443043,1.6907318,2.6513622,1.3181468,1.7937514,-4.467612
39,-0.46068472,-1.1952097,0.13545561,-0.43304673,-1.0439317,0.16362543,3.7303069,-0.558148,1.8171256,13.201067,4.9201784,-7.6469812,5.4090376,4.261688
40,-0.26874122,-0.22421141,0.2935567,0.108656704,-0.35582283,-0.1964092,6.554529,-8.125237,-5.0681868,4.927329,2.0559907,3.6333148,-1.3284956,-1.0278598
41,-0.53525543,-0.15711026,0.5976,-0.30474156,-0.57072353,0.8515298,5.843266,-9.059516,6.681176,-3.1591475,-1.8042117,1.862879,-3.2820828,0.18334697
42,-0.20435889,0.04055479,0.16270164,0.36576,-0.6551509,0.108033046,0.046689566,4.1891565,2.1829412,0.85669506,-1.3541446,-1.6859728,2.0294547,3.785489
43,0.10699037,-0.5264779,0.25827393,-0.07772808,-0.5742341,0.4118651,-4.9629493,6.930578,2.386977,12.961199,-8.151571,5.7468324,4.61222,-4.1569223
44,0.76158917,-0.9589559,0.9601367,-0.29456383,-0.8447151,0.75565225,-0.6687862,-4.9113574,2.602954,1.0994686,-2.7914753,-0.65215117,0.17862912,1.0426447
45,0.20366144,-0.6879295,0.0687435,0.013515592,0.45159853,-0.59553725,-3.9106467,-3.598229,-2.6933005,6.3527966,2.8122845,0.90695006,-0.7233804,-0.014860477
46,-0.019323334,-0.067915305,0.45648396,0.14949402,-0.91640204,-0.5704455,1.2665225,-6.0554786,-0.89753664,-2.4691236,0.9014039,-4.972711,-0.04737258,-1.5410593
47,-0.28748456,-0.331962,-0.20191377,-0.20628467,0.20285848,-0.075914234,6.872848,-0.19879398,-0.94800127,-5.2414255,-2.9793339,-0.7186716,3.0686142,0.81091714
48,0.114189796,-0.5780073,0.68890697,-0.31155643,-0.08719373,0.20820494,2.532533,-1.7672579,-3.884457,-0.0005110388,-1.3616779,1.8334186,-8.898321,-11.471439
49,-0.3016948,0.21236777,0.1574379,-0.55106205,-0.12345043,-0.044600412,-0.35462815,5.67067,0.911362,-0.74309456,8.93224,8.781024,1.9060285,21.273178
50,-0.5864219,-0.36548227,0.25470006,-0.83011794,0.1736496,0.93302953,3.321823,-1.0422623,-4.018443,-1.3745556,-8.474375,6.175143,0.8643362,-5.6637607
51,-0.9210805,-0.3089956,0.22172453,-0.9528675,-0.5952557,0.0021559782,-3.7123833,2.3440323,-2.471595,2.8717992,-12.305154,-16.871212,10.26582,-10.986872
52,-0.49708283,-0.57943714,-0.68706524,-0.6009736,-0.17936738,-0.071404904,4.765087,8.023812,1.5011358,0.2651207,0.28904414,5.1951814,5.5626736,-2.050503
53,-0.77552634,-0.4788382,0.085978866,-0.62360513,-0.37224358,-0.295089,-17.779583,9.129868,-4.578939,-4.310207,1.8699458,-4.471741,3.4549153,-5.171642
54,-0.4554773,-0.6967697,0.5447172,-0.4508659,-0.32635468,-0.5475881,-5.366437,-0.22928545,-4.2232566,-0.95380604,3.1224842,0.47776803,-1.521857,-7.4769588
55,-0.3175007,-0.726267,0.16192341,-0.2042765,-0.36096698,-0.36590105,-29.531996,-4.7725224,-1.7969458,-7.1356473,3.1991959,-0.7473611,-1.313475,-5.4576764
